Airport name,City,ICAO,IATA,Operator
Buriram Airport,Buriram,VTUO,BFV,AOT
Chumphon Airport,Chumphon,VTSE,CJM,Department of Airports
Hua Hin Airport,Hua Hin,VTPH,HHQ,Department of Airports
Khon Kaen Airport,Khon Kaen,VTUK,KKC,Department of Airports
Lampang Airport,Lampang,VTCL,LPT,Department of Airports
Loei Airport,Loei,VTUL,LOE,Department of Airports
Mae Hong Son Airport,Mae Hong Son,VTCH,HGN,Department of Airports
Mae Sot Airport,Mae Sot,VTPM,MAQ,Department of Airports
Nakhon Phanom Airport,Nakhon Phanom,VTUW,KOP,Department of Airports
Nakhon Si Thammarat Airport,Nakhon Si Thammarat,VTSF,NST,Department of Airports
Nan Nakhon Airport,Nan Nakhon,VTCN,NNT,Department of Airports
Narathiwat Airport,Narathiwat,VTSC,NAW,Department of Airports
Phetchabun Airport,Phetchabun,VTPB,PHY,Department of Airports
Phitsanulok Airport,Phitsanulok,VTPP,PHS,Department of Airports
Phrae Airport,Phrae,VTCP,PRH,Department of Airports
Ranong Airport,Ranong,VTSR,UNN,Department of Airports
Roi Et Airport,Roi Et,VTUV,ROI,Department of Airports
Sakon Nakhon Airport,Sakon Nakhon,VTUI,SNO,Department of Airports
Sukhothai Airport,Sukhothai,VTPO,THS,Bangkok Airways
Trang Airport,Trang,VTST,TST,Department of Airports
Trat Airport,Trat,VTBO,TDX,Bangkok Airways
Ubon Ratchathani Airport,Ubon Ratchathani,VTUU,UBP,Department of Airports
Suvarnabhumi Airport,Bangkok (Samut Prakan),VTBS,BKK,AOT
Don Mueang International Airport,Bangkok (Nonthaburi),VTBD,DMK,AOT
Chiang Mai International Airport,Chiang Mai,VTCC,CNX,AOT
Mae Fah Luang Chiang Rai International Airport,Chiang Rai,VTCT,CEI,AOT
Hat Yai International Airport,Hat Yai,VTSS,HDY,AOT
Phuket International Airport,Phuket,VTSP,HKT,AOT
Samui International Airport,Ko Samui,VTSM,USM,Bangkok Airways
Krabi International Airport,Krabi,VTSG,KBV,AOT
Surat Thani International Airport,Surat Thani,VTSB,URT,Department of Airports
U-Tapao International Airport,Rayong,VTBU,UTP,Royal Thai Navy
Udon Thani International Airport,Udon Thani,VTUD,UTH,AOT
